goodreads_book_id,title,authors,isbn,publication_year,language_code,rating
18405,Gone with the Wind,"Margaret Mitchell",446675539,1936,eng,4.28
128029,A Thousand Splendid Suns,"Khaled Hosseini",1594489505,2007,eng,4.34
22628,The Perks of Being a Wallflower,"Stephen Chbosky",671027344,1999,eng,4.21
11735983,Insurgent,"Veronica Roth",7442912,2012,eng,4.07
375802,Ender's Game,"Orson Scott Card",812550706,1985,eng,4.3
18490,Frankenstein; or, The Modern Prometheus,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",141439475,1818,eng,3.75
11588,The Shining,"Stephen King",450040186,1977,eng,4.17
1656001,The Host,"Stephenie Meyer",316068047,2008,en-US,3.84
99561,Looking for Alaska,"John Green",142402516,2005,eng,4.09
227443,Bridget Jones's Diary (Bridget Jones, #1),"Helen Fielding",014028009X,1996,eng,3.75
14935,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",141439661,1811,eng,4.06
38709,Holes,"Louis Sachar, Louis Sachar",439244196,1998,eng,3.93
5139,The Devil Wears Prada,"Lauren Weisberger",307275558,2003,eng,3.7
1381,Ὀδύσσεια,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",143039954,-720,eng,3.73
157993,Le Petit Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",156012197,1946,eng,4.28
7445,The Glass Castle,"Jeannette Walls",074324754X,2005,eng,4.24
1845,Into the Wild,"Jon Krakauer",385486804,1996,eng,3.94
1953,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",141439602,1859,eng,3.81
7677,Jurassic Park,"Michael Crichton",030734813X,1990,spa,3.96
370493,The Giving Tree,"Shel Silverstein",60256656,1964,eng,4.38
32542,A Time to Kill,"John Grisham",385338600,1989,eng,4.03
1617,Un di Velt Hot Geshvign,"Elie Wiesel, Marion Wiesel",374500010,1958,eng,4.3
6442769,Paper Towns,"John Green",014241493X,2008,en-US,3.88
21787,The Princess Bride,"William Goldman",345418263,1973,en-US,4.25
231804,The Outsiders,"S.E. Hinton",014038572X,1967,en-US,4.06
6186357,The Maze Runner,"James Dashner",385737947,2009,eng,4.02
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Steven D. Levitt, Stephen J. Dubner",61234001,2005,en-US,3.93
2998,The Secret Garden,"Frances Hodgson Burnett",517189607,1911,eng,4.12
320,Cien años de soledad,"Gabriel García Márquez, Gregory Rabassa",60531045,1967,eng,4.04
5297,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",375751513,1891,eng,4.06
13536860,Fifty Shades Freed,"E.L. James",345803507,2012,eng,3.88
17245,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",393970124,1897,eng,3.98
5060378,Flickan som lekte med elden,"Stieg Larsson, Reg Keeland",307269981,2006,eng,4.22
11857408,Fifty Shades Darker,"E.L. James",1612130585,2011,eng,3.87
7244,The Poisonwood Bible,"Barbara Kingsolver",60786507,1998,eng,4.02
4137,Me Talk Pretty One Day,"David Sedaris",349113912,2000,eng,3.97
19543,Where the Wild Things Are,"Maurice Sendak",99408392,1963,eng,4.22
7126,Le Comte de Monte-Cristo,"Alexandre Dumas, Robin Buss",140449264,1844,eng,4.21
6288,The Road,"Cormac McCarthy",307265439,2006,eng,3.95
18710190,Allegiant,"Veronica Roth",7524277,2013,eng,3.63
9418327,Bossypants,"Tina Fey",,2011,eng,3.94
3473,A Walk to Remember,"Nicholas Sparks",446693804,1999,en-US,4.15
9416,Confessions of a Shopaholic,"Sophie Kinsella",440241413,2000,eng,3.61
24280,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",451525264,1862,eng,4.14
10572,A Clash of Kings,"George R.R. Martin",553381695,1998,eng,4.4
10441,The Memory Keeper's Daughter,"Kim Edwards",143037145,2005,eng,3.64
15507958,Me Before You,"Jojo Moyes",670026603,2012,eng,4.27
168668,Catch-22,"Joseph Heller",684833395,1961,en-US,3.98
6900,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",751529818,1997,eng,4.06
2187,Middlesex,"Jeffrey Eugenides",312422156,2002,en-US,3.98
24583,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",143039563,1876,eng,3.89
18131,A Wrinkle in Time,"Madeleine L'Engle",440498058,1962,en-US,4.04
7763,The Joy Luck Club,"Amy Tan",143038095,1989,eng,3.9
38447,The Handmaid's Tale,"Margaret Atwood",038549081X,1985,eng,4.06
452306,The Sisterhood of the Traveling Pants,"Ann Brashares",385729332,2001,eng,3.75
7604,Lolita,"Vladimir Nabokov, Craig Raine",,1955,eng,3.88
37442,Wicked: The Life and Times of the Wicked Witch of the West,"Gregory Maguire, Douglas Smith",60987103,1995,eng,3.52
5358,The Firm,"John Grisham",582418275,1991,eng,3.99
7937843,Room,"Emma Donoghue",316098337,2010,eng,4.03
1420,The Tragicall Historie of Hamlet, Prince of Denmark,"William Shakespeare, Richard Andrews, Rex Gibson",521618746,1600,eng,4.0
234225,Dune,"Frank Herbert",340839937,1965,eng,4.19
2612,The Tipping Point: How Little Things Can Make a Big Difference,"Malcolm Gladwell",316346624,2000,eng,3.92
11084145,Steve Jobs,"Walter Isaacson",1451648537,2011,eng,4.09
332613,One Flew Over the Cuckoo's Nest,"Ken Kesey",451163966,1962,eng,4.18
2165,The Old Man and the Sea,"Ernest Hemingway",684830493,1952,eng,3.73
4395,The Grapes of Wrath,"John Steinbeck",142000663,1939,eng,3.92
3431,The Five People You Meet in Heaven,"Mitch Albom",1401308589,2003,,3.9
8127,Anne of Green Gables,"L.M. Montgomery",451528824,1908,eng,4.23
3777732,City of Glass,"Cassandra Clare",1416914307,2009,en-US,4.34
62291,A Storm of Swords,"George R.R. Martin",055357342X,2000,eng,4.54
137791,Divine Secrets of the Ya-Ya Sisterhood,"Rebecca Wells",006075995X,1996,en-US,3.79
10964,Outlander,"Diana Gabaldon",440242940,1991,eng,4.2
12296,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",142437263,1850,eng,3.37
9460487,Miss Peregrine’s Home for Peculiar Children,"Ransom Riggs",1594744769,2011,en-US,3.89
6892870,Luftslottet som sprängdes,"Stieg Larsson, Reg Keeland",030726999X,2007,en-US,4.2
18007564,The Martian,"Andy Weir",804139024,2012,eng,4.39
5043,The Pillars of the Earth,"Ken Follett",451207149,1989,eng,4.29
18143977,All the Light We Cannot See,"Anthony Doerr",1476746583,2014,eng,4.31
8664353,Unbroken: A World War II Story of Survival, Resilience, and Redemption,"Laura Hillenbrand",1400064163,2010,eng,4.4
976,Deception Point,"Dan Brown",671027387,2001,eng,3.67
17333223,The Goldfinch,"Donna Tartt",316055433,2013,eng,3.87
1217100,Thirteen Reasons Why,"Jay Asher",1595141715,2007,eng,4.02
2865,Girl with a Pearl Earring,"Tracy Chevalier",452287022,1999,eng,3.85
4374400,If I Stay,"Gayle Forman",525421033,2009,en-US,3.96
4989,The Red Tent,"Anita Diamant",312353766,1997,en-US,4.16
28186,The Sea of Monsters,"Rick Riordan",786856866,2006,eng,4.23
5526,Dear John,"Nicholas Sparks",446528056,2006,en-US,4.01
1582996,City of Ashes,"Cassandra Clare",1416914293,2008,eng,4.21
8852,The Tragedy of Macbeth,"William Shakespeare",743477103,1606,eng,3.88
15241,The Two Towers,"J.R.R. Tolkien",618346260,1954,en-US,4.42
42156,Something Borrowed,"Emily Giffin",031232118X,2004,eng,3.83
23772,Green Eggs and Ham,"Dr. Seuss, לאה נאור",394800168,1960,en-US,4.29
6310,Charlie and the Chocolate Factory,"Roald Dahl, Quentin Blake",142403881,1964,eng,4.1
2120932,The Battle of the Labyrinth,"Rick Riordan",1423101464,2008,eng,4.39
2623,Great Expectations,"Charles Dickens",192833596,1860,eng,3.75
18512,The Return of the King,"J.R.R. Tolkien",345339738,1955,en-US,4.51
49552,L’Étranger,"Albert Camus, Matthew    Ward",,1942,eng,3.96
7736182,The Lost Hero,"Rick Riordan",142311339X,2010,eng,4.35
15745753,Eleanor & Park,"Rainbow Rowell",1250012570,2013,eng,4.11
13497,A Feast for Crows,"George R.R. Martin",055358202X,2005,en-US,4.1
7735333,Matched,"Ally Condie",525423648,2010,eng,3.68
4407,American Gods,"Neil Gaiman",747263744,2001,eng,4.11
149267,The Stand,"Stephen King, Bernie Wrightson",385199570,1978,en-US,4.34
6400090,The Last Song,"Nicholas Sparks",446547565,2008,en-GB,4.14
11125,Digital Fortress,"Dan Brown",552151696,1998,en-GB,3.6
6969,Emma,"Jane Austen, Fiona Stafford",141439580,1815,eng,3.99
15823480,Анна Каренина,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",345803922,1877,eng,4.02
227463,A Clockwork Orange,"Anthony Burgess",393312836,1962,eng,3.98
1812457,The Shack: Where Tragedy Confronts Eternity,"William Paul Young",964729237,2007,eng,3.74
4502507,The Last Olympian,"Rick Riordan",739380338,2009,eng,4.5
18342,It,"Stephen King",451169514,1986,en-US,4.18
7144,Преступление и наказание,"Fyodor Dostoyevsky, David McDuff",143058142,1866,eng,4.18
6514,The Bell Jar,"Sylvia Plath",61148512,1963,en-US,3.98
252577,Angela's Ashes: A Memoir,"Frank McCourt",7205236,1996,eng,4.07
52036,Siddhartha,"Hermann Hesse, Hilda Rosner",553208845,1922,eng,3.99
168642,In Cold Blood,"Truman Capote",679745580,1965,eng,4.05
6304335,Beautiful Creatures,"Kami Garcia, Margaret Stohl",316042676,2009,eng,3.76
7171637,Clockwork Angel,"Cassandra Clare",1416975861,2010,eng,4.33
39988,Matilda,"Roald Dahl, Quentin Blake",141301066,1988,eng,4.29
9361589,The Night Circus,"Erin Morgenstern",385534639,2011,eng,4.03
37470,The Other Boleyn Girl,"Philippa Gregory",743227441,2001,eng,4.04
24770,Uglies,"Scott Westerfeld",689865384,2005,eng,3.86
10664113,A Dance with Dragons,"George R.R. Martin",,2011,eng,4.31
33,The Lord of the Rings,"J.R.R. Tolkien",618640150,1955,eng,4.47
12262741,Wild: From Lost to Found on the Pacific Crest Trail ,"Cheryl Strayed",307592731,2012,eng,3.96
472331,Watchmen,"Alan Moore, Dave Gibbons, John Higgins",930289234,1987,en-US,4.35
186074,The Name of the Wind,"Patrick Rothfuss",075640407X,2007,eng,4.55
3228917,Outliers: The Story of Success,"Malcolm Gladwell",316017922,2008,en-US,4.11
153747,Moby Dick; or, The Whale,"Herman Melville, Andrew Delbanco, Tom Quirk",142437247,1851,eng,3.46
2728527,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",385340990,2008,eng,4.12
5759,Fight Club,"Chuck Palahniuk",393327345,1996,eng,4.2
301082,Dead Until Dark,"Charlaine Harris",441008534,2001,en-US,3.96
11486,The Color Purple,"Alice Walker",671727796,1982,eng,4.17
12691,Marley & Me: Life and Love with the World's Worst Dog,"John Grogan",739461192,2005,eng,4.12
16299,Ten Little Niggers,"Agatha Christie",312330871,1939,eng,4.23
6411961,The Lost Symbol,"Dan Brown",385504225,2009,eng,3.66
6339664,Hush, Hush,"Becca Fitzpatrick",1416989412,2009,en-US,4.0
11505797,Beautiful Disaster,"Jamie McGuire",,2011,eng,4.15
5326,A Christmas Carol,"Charles Dickens",1561797464,1843,,4.02
43763,Interview with the Vampire,"Anne Rice",345476875,1976,eng,3.97
10507293,The Selection,"Kiera Cass",62059939,2012,en-US,4.15
6853,One for the Money,"Janet Evanovich",312362080,1994,en-US,4.03
6493208,The Immortal Life of Henrietta Lacks,"Rebecca Skloot",1400052173,2010,eng,4.04
23807,The Silence of the Lambs,"Thomas Harris",99446782,1988,eng,4.14
345627,Vampire Academy (Vampire Academy, #1),"Richelle Mead",159514174X,2007,en-US,4.14
40102,Blink: The Power of Thinking Without Thinking,"Malcolm Gladwell",316010669,2005,en-US,3.89
6867,Atonement,"Ian McEwan",038572179X,2001,eng,3.88
485894,Die Verwandlung,"Franz Kafka, Stanley Corngold",553213695,1915,eng,3.78
561456,The Titan's Curse,"Rick Riordan",141382899,2007,eng,4.33
9969571,Ready Player One,"Ernest Cline",030788743X,2011,eng,4.31
3153910,The Art of Racing in the Rain,"Garth Stein",1554681723,2006,eng,4.19
21996,The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America,"Erik Larson, Tony Goldwyn",739303406,2003,eng,3.98
13572249,Bared to You,"Sylvia Day",425263908,2012,eng,4.19
11127,The Chronicles of Narnia,"C.S. Lewis, Pauline Baynes",66238501,1956,eng,4.24
3609760,Twilight: The Complete Illustrated Movie Companion,"Mark Cotta Vaz",316043133,,en-US,4.23
60748,A Child Called "It": One Child's Courage to Survive,"Dave Pelzer",1558743669,1995,eng,4.08
7869,The Bourne Identity,"Robert Ludlum",752864327,1980,eng,3.98
249747,Artemis Fowl,"Eoin Colfer",786817879,2001,eng,3.82
6487308,Fallen,"Lauren Kate",385738935,2009,en-US,3.74
4406,East of Eden  ,"John Steinbeck",142000655,1952,eng,4.35
5886881,Dark Places,"Gillian Flynn",307341569,2009,eng,3.92
5359,The Client,"John Grisham",385339089,1993,eng,3.97
228333,The Nanny Diaries,"Emma McLaughlin, Nicola Kraus",312291639,2002,eng,3.4
24213,Alice's Adventures in Wonderland,"Lewis Carroll, John Tenniel, Martin Gardner",451527747,1865,eng,4.06
2156,Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch",192802631,1817,eng,4.13
556602,Elle s'appelait Sarah,"Tatiana de Rosnay",312370830,2007,eng,4.14
43615,The Gunslinger,"Stephen King",452284694,1982,en-US,3.99
9712,El amor en los tiempos del cólera,"Gabriel García Márquez, Edith Grossman",140003468X,1985,eng,3.89
439288,Speak,"Laurie Halse Anderson",014131088X,1999,eng,4.0
17802724,The Husband's Secret ,"Liane Moriarty",399159347,2013,eng,3.92
1898,Into Thin Air: A Personal Account of the Mt. Everest Disaster,"Jon Krakauer",385494785,1997,en-US,4.11
10592,Carrie,"Stephen King",1416524304,1974,,3.93
242006,Running with Scissors,"Augusten Burroughs",031242227X,2002,en-US,3.7
8908,World War Z: An Oral History of the Zombie War,"Max Brooks",307346609,2006,en-US,4.01
17212231,Inferno,"Dan Brown",385537859,2013,eng,3.8
47281,Number the Stars,"Lois Lowry",440227534,1989,eng,4.11
13145,Along Came a Spider,"James Patterson",446692638,1993,eng,4.08
10614,Misery,"Stephen King",450417395,1987,en-GB,4.11
66559,Sharp Objects,"Gillian Flynn",307341542,2006,en-US,3.92
2839,Bridge to Terabithia,"Katherine Paterson",439366771,1977,eng,3.98
30183,Marked,"P.C. Cast, Kristin Cast",312360266,2007,en-US,3.79
36072,The 7 Habits of Highly Effective People,"Stephen R. Covey",743269519,1989,en-US,4.05
1622,A Midsummer Night's Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",743477545,1595,eng,3.94
4588,Extremely Loud and Incredibly Close,"Jonathan Safran Foer",618711651,2005,en-US,3.97
11387515,Wonder,"R.J. Palacio",375869026,2012,eng,4.43
233093,The Cat in the Hat,"Dr. Seuss",039480001X,1957,eng,4.15
11235712,Cinder,"Marissa Meyer",312641893,2012,eng,4.15
16160797,The Cuckoo's Calling,"Robert Galbraith, J.K. Rowling",316206849,2013,en-US,3.83
6068551,Shiver,"Maggie Stiefvater",545123267,2009,eng,3.78
662,Atlas Shrugged,"Ayn Rand, Leonard Peikoff",452011876,1957,eng,3.68
49436,Three Cups of Tea ,"Greg Mortenson, David Oliver Relin",143038257,2006,en-US,3.64
13023,Alice in Wonderland,"Jane Carruth, Lewis Carroll, Rene Cloke",517223627,1865,eng,4.03
1232,La sombra del viento,"Carlos Ruiz Zafón, Lucia Graves",143034901,2001,eng,4.24
7631105,The Scorch Trials,"James Dashner",385738757,2010,eng,3.93
4865,How to Win Friends and Influence People,"Dale Carnegie",,1936,eng,4.13
480479,Under the Tuscan Sun,"Frances Mayes",767900383,1996,eng,3.72
19486412,Big Little Lies,"Liane Moriarty",399167064,2014,eng,4.2
24337,Ella Enchanted,"Gail Carson Levine",590920685,1997,eng,3.97
3876,The Sun Also Rises,"Ernest Hemingway",743297334,1926,en-US,3.83
14891,A Tree Grows In Brooklyn ,"Betty  Smith",61120073,1943,eng,4.24
13148,Kiss the Girls,"James Patterson",446677388,1995,eng,3.93
21853621,The Nightingale,"Kristin Hannah",312577222,2015,eng,4.54
6334,Never Let Me Go,"Kazuo Ishiguro",1400078776,2005,eng,3.8
366522,PS, I Love You,"Cecelia Ahern",786890754,2003,en-US,4.01
12873,Rebecca,"Daphne du Maurier, Sally Beauman",1844080382,1938,en-US,4.2
18373,Flowers for Algernon,"Daniel Keyes",156030306,1966,en-US,4.07
6952,Como agua para chocolate,"Laura Esquivel, Thomas  Christensen, Carol Christensen",552995878,1989,en-US,3.94
1103,Snow Flower and the Secret Fan,"Lisa See",812968069,2005,eng,4.05
22034,The Godfather,"Mario Puzo, Robert Thompson, Peter Bart",451205766,1969,eng,4.36
49750,An Abundance of Katherines,"John Green",525476881,2006,eng,3.63
29579,Foundation,"Isaac Asimov",553803719,1951,eng,4.13
15783514,The Ocean at the End of the Lane,"Neil Gaiman",62255657,2013,eng,3.99
30118,A Light in the Attic,"Shel Silverstein",60513063,1981,eng,4.34
29056083,Harry Potter and the Cursed Child, Parts One and Two,"John Tiffany, Jack Thorne, J.K. Rowling",751565350,2016,eng,3.75
11614718,Delirium,"Lauren Oliver",61726834,2011,eng,3.99
32499,The Pelican Brief,"John Grisham",385339704,1992,eng,3.95
17061,Coraline,"Neil Gaiman",61139378,2002,eng,4.03
12067,Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch,"Terry Pratchett, Neil Gaiman",60853980,1990,en-US,4.25
70401,On the Road,"Jack Kerouac",140042598,1955,eng,3.64
16181775,The Rosie Project,"Graeme Simsion",1476729085,2013,eng,4.01
3063499,The Lucky One,"Nicholas Sparks",446579939,2008,en-US,4.1
2122,The Fountainhead,"Ayn Rand, Leonard Peikoff",451191153,1943,eng,3.85
19691,The Hunt for Red October,"Tom Clancy",425172902,1984,,4.01
76620,Watership Down,"Richard Adams",038039586X,1972,eng,4.05
10335308,Is Everyone Hanging Out Without Me? (And Other Concerns),"Mindy Kaling",307886263,2011,eng,3.84
3591262,Cutting for Stone,"Abraham Verghese",375414495,2009,eng,4.28
140225,The Voyage of the Dawn Treader,"C.S. Lewis, Pauline Baynes",006112527X,1951,eng,4.08
295,Treasure Island,"Robert Louis Stevenson",753453800,1882,eng,3.82
9520360,The Son of Neptune ,"Rick Riordan",1423140591,2011,eng,4.44
10644930,11/22/63,"Stephen King",1451627289,2011,eng,4.29
4948,The Very Hungry Caterpillar,"Eric Carle",241003008,1969,eng,4.29
135479,Cat's Cradle,"Kurt Vonnegut Jr.",140285601,1963,eng,4.18
2493,The Time Machine,"H.G. Wells, Greg Bear, Carlo Pagetti",451528557,1895,eng,3.87
7933292,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"Todd Burpo, Lynn Vincent",849946158,2010,eng,4.01
39999,The Boy in the Striped Pyjamas,"John Boyne",385751060,2006,eng,4.1
4900,Heart of Darkness,"Joseph Conrad",1892295490,1899,eng,3.42
7812659,Safe Haven,"Nicholas Sparks",044654759X,2010,eng,4.19
52529,The Secret,"Rhonda Byrne",1582701709,2006,eng,3.62
227711,I Know This Much Is True ,"Wally Lamb",60987561,1998,eng,4.17
10583,Pet Sematary,"Stephen King",1416524347,1983,eng,3.91
5203,She's Come Undone,"Wally Lamb",671021001,1992,en-US,3.84
1215032,The Wise Man's Fear,"Patrick Rothfuss",756404738,2011,eng,4.57
33724,Can You Keep a Secret?,"Sophie Kinsella",440241901,2003,en-US,3.83
6752378,City of Fallen Angels,"Cassandra Clare",1442403543,2011,en-US,4.16
14748,Good in Bed,"Jennifer Weiner",743418174,2001,en-US,3.7
3412,The Thorn Birds,"Colleen McCullough",380018179,1977,eng,4.22
2213661,The Graveyard Book,"Neil Gaiman, Dave McKean",60530928,2008,en-US,4.12
13158800,The Light Between Oceans,"M.L. Stedman",1451681739,2012,eng,4.0
28194,Tintenherz,"Cornelia Funke, Anthea Bell",439709105,2003,en-US,3.86
4894,Who Moved My Cheese?,"Spencer Johnson, Kenneth H. Blanchard",91883768,1998,eng,3.74
9791,A Walk in the Woods,"Bill Bryson",307279464,1997,eng,4.05
13214,I Know Why the Caged Bird Sings,"Maya Angelou",553279378,1969,en-US,4.19
15818107,Orphan Train,"Christina Baker Kline",61950726,2013,eng,4.14
8755776,City of Lost Souls,"Cassandra Clare",1442416866,2012,eng,4.3
13526165,Where'd You Go, Bernadette,"Maria Semple",316204277,2012,eng,3.9
10365,Where the Red Fern Grows,"Wilson Rawls",375806814,1961,,4.04
14497,Neverwhere,"Neil Gaiman",60557818,1996,eng,4.18
9717,Nesnesitelná lehkost bytí,"Milan Kundera, Michael Henry Heim",571224385,1984,eng,4.08
16068905,Fangirl,"Rainbow Rowell",,2013,eng,4.12
4473,A Prayer for Owen Meany,"John Irving",552135399,1989,eng,4.22
32234,White Oleander,"Janet Fitch",316182540,1999,eng,3.93
9275658,Legend,"Marie Lu",039925675X,2011,eng,4.19
14866,Nineteen Minutes,"Jodi Picoult",743496728,2007,eng,4.1
2318271,The Last Lecture,"Randy Pausch, Jeffrey Zaslow",1401323251,2008,eng,4.25
228665,The Eye of the World,"Robert Jordan",812511816,1990,eng,4.18
10916,The Pact,"Jodi Picoult",61150142,1998,en-US,4.0
65605,The magician's nephew,"C.S. Lewis",60764902,1953,eng,4.01
2153405,Still Alice,"Lisa Genova",595440096,2007,eng,4.3
13596809,Reflected in You,"Sylvia Day",425263916,2012,eng,4.33
6689,James and the Giant Peach,"Roald Dahl, Quentin Blake",375814248,1961,eng,3.99
13137,1st To Die,"James Patterson",446696617,2001,en-US,4.05
13,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,"Douglas Adams",345453743,1996,eng,4.37
6280118,One Day,"David Nicholls",340896965,2009,eng,3.77
32929,Goodnight Moon,"Margaret Wise Brown, Clement Hurd",60775858,1947,en-US,4.27
7747374,I Am Number Four,"Pittacus Lore",61969559,2010,en-US,3.94
1371,Ἰλιάς,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",140275363,-750,eng,3.83
