"book_id","book_name","review_rating","review_text","date"
 Now here are some things I, not disliked, but kind of expected more of because of all the hype. First, Rue's death was a little anti-climactic. I expected it to have more of an impact on Katniss than it did. Another thing was Peeta. I spent most of the book thinking that , like Katniss, he was faking the whole being in love thing. But him really being in love with her felt a little unnecessary. At least in this book. I felt it might've fit in later books. And there was one thing I really didn't understand. WTF WERE THE WOLF PEOPLE? Were they just designed to look like the dead tributes? Or were they the dead tributes made into wolf people? I don't understand. 
 So there isn't much more I can say that hasn't been already said. I really enjoyed the book, I had to read it for an English class. Still haven't seen the movie, will watch it today probably. And I hope everyone else has read it and enjoyed it as much as I did.","2016-03-28"
"41865","Twilight","4","My review on thinking for a while is different from the review that I would leave right after reading the book. When I got the book, it was a quick read and I was enthralled at the angsty and stressful story. But after thinking about it awhile, the story is more creepy and whiny than good. I was entertained though!","2017-01-14"
"41865","Twilight","3","The first three books in the four-part vampire saga. An engrossing read, but I hated Edward from the get-go and it seems like I'm nearly alone in this despisement. Most of Meyer's fans...including my own students, adore Edward and don't want Bella to be with Jacob.","2017-06-07"
"41865","Twilight","3","** spoiler alert ** 
 I finished reading Twilight today. Took me about a day to read as it is such a quick read. I'm sure you've all read this. I put it off as long as possible. 
 I have a friend who had never read the Harry Potter series. She promised me she would read it if I read the Twilight series, so here I am. 
 I give it 3 out of 5 stars. Did I enjoy this? For a young reader, yes. I think it's more suited for high schoolers and younger. For adults? Meh. Here's my thoughts 
 It's a love story with a vampire. The beginning I thought was cute as it brought back the fun innocence of a crush (I've been married for a while now so this was fun to relive). Ex. The excitement of simply being in the same room or standing next to a person. I found that enduring. But once they had kissed, I saw red flags. Edward never let her make decisions. He always was telling her what was best for her, despite her protests... but she doesn't fight him too hard. You'd think after a while she'd get fed up. I would. Edward also couldn't keep his story straight. Ex. "I promise I'll be with you for forever. You'll never be alone. I love you." Then a few paragraphs later we get "It's not safe for you to be with me. We shouldn't be together." This happens continually throughout the book. His wishy-washy back and forth attitude was so reminiscent of high school dating. (Hence why I felt this was suited for a younger audience - you know this is the drama they crave). {I'm not denying I was like this. It's just obnoxious now} 
 Now Jacob. He wasn't in it too much. However, he actually asked and listened to what's Bella wanted. And he complimented her (Edward didn't always return compliments). And he made her relax. I also hated how he grew exponentially while she was away (she came back and he's 6'2"). I don't know of anyone who has a growth spurt that extreme. 
 I don't know which team I'm on yet as this first book doesn't really present you with an either-or conundrum. It was all about Bella and Edward. So I remain neutral. 
 Lastly, they left a loose end that bothered me. Bella calls her mom and leaves a voicemail frantically asking her to call before returning home. It turns out the bad guy intercepted it and responded. However, after he dies, mom shows up at the hospital to see Bella and never once mentions the voicemail. There's no way she wouldn't have called her moms cell phone. I know cell phones existed in this story because Bella used one to call her mom. And if she knew her mom wasn't home, why leave a message on a home message machine (plus - who even had those anymore?). So... mom should've clued in to the crazy that was going down in Phoenix. That bugged me. 
 Alright your Twilight fans. Do your worst. Tear me apart.","2016-10-27"
"41865","Twilight","4","Always better than the movie version, it has a lot more details that I like.","2017-06-23"
"41865","Twilight","3","Lets be real, this is garbage - but it's entertaining garbage. It's like eating cotton candy, it's terrible for you and too much will make you sick - but just enough of it is delicious.","2017-01-19"
"41865","Twilight","0","So many people judge the people who read this series, and really I don't care. I was curious to read it, so I read it. A million times better than the film.","2017-05-01"
"41865","Twilight","1","Terrible Writing 
 Unlikable Characters 
 Lack of Action","2017-01-06"
"2657","To Kill a Mockingbird","4","Whoa. Its different from the way I remember the movie. The movie works as a movie, but the book sure works well as a book. The movie builds to a dramatic ending, but the book keeps you on the edge throughout, and has charming moments to boot. I can't get enough of the lawyer as hero! Well worth the read.","2017-06-08"
"2657","To Kill a Mockingbird","5","A must read, this book is from the eyes of a child. This book provides a window into all levels of hypocrisy entrenched in human behaviour. Atticus finch is perhaps one of the best father figures to shape men of fiction and reality after. He embodies what it is like to live in a dual and still somehow be right and grow noble children. Apart from the central tale of what humans are collectively possible of, there are many other pluses to the Novel. 
 The narrative is very convincing and the portrayal as well as character development is quite well done. The use of humor is also quite good. A thoroughly enjoyable book.","2016-08-31"
"2657","To Kill a Mockingbird","5","Excellent.","2017-01-12"
"2657","To Kill a Mockingbird","5","Menyelami dunia anak-anak serta gambaran masyarakat Alabama tahun 1930an. Terima kasih Atticus atas pelajaran-pelajaran berharganya. Belajar tentang hakikat kemanusiaan. Menarik, manis, dan penuh kejutan. 
 "Kau tidak akan pernah bisa memahami seseorang hingga kau melihat segala sesuatu dari sudut pandangnya..hingga kau menyusup ke balik kulitnya dan menjalani hidup dengan caranya."","2016-01-09"
"2657","To Kill a Mockingbird","5","Sissy Spacek did an AMAZING job narrating this book. She really brought Scout and Jem to life!","2016-02-11"
"2657","To Kill a Mockingbird","5","Ainoa asia, joka tassa kirjassa harmittaa on, etta se on nyt luettu.","2016-01-17"
"960","Angels & Demons ","5","** spoiler alert ** 
 Angels & Demons... 
 This Dan Brown should be proud of himself...really. 
 This book and Da Vinci Code got me thinking...who the hell Dan Brown is. What is his academic background? I guess if the Illuminati ever came back to life and intended the wipe out Catholicism, they would drain their brains as they might but they wouldn't be able to come up with a plot as perfect and devilish as that of Dan Brown. This guy knows more than professors of history, physicists and religion men do; or at least he is a damn good researcher with an exceptional knowledge of rare fields like symbology and cryptography and a deep understanding of art, history and religions. It takes a smart professor of symbology to solve the riddles in the novel, but it takes a genius writer to create these riddles in the first place. Dan Brown is a genius. He really is. The air of mystery and apprehension in the novel is masterfully crafted that it engrossed me even when I off the book. I have to admit, I suspected all the characters. I suspected ALL of them except Langdon and Vittoria. I had to keep a computer close by so that every now and then I'd check google and youtube on scientific terms and historical facts. For me, this novel was not just a book; it was a whole experience. 
 Five stars...Yes. I fully enjoyed it... it is fairly long but you wouldn't wish it to end. My impression is mainly positive except for two points. The work as a whole deserves 5 stars nonetheless. 
 What I have to comment on rather than criticism is (spoilers coming ahead) 1) the Hassassin; the stereotypical sex-crazy terrorist barbaric Muslim Arab! Being a Muslim Arab, I felt offended. Plus... Come one Dan Brown, I guess you know better. The Hassassins, though considered a Shittii sect, were not at all religious. So I doubt that their descendants would in any way hold grudges against the church for sending the Crusaders centuries ago. And the few Arabic words the guy used - just to sound Arab - are of the Egyptian Dialect, while the Hassassins descendants, if any, would never be Egyptians. This might sound trivial (and this is why I didn't let this point affect my review) but the second point... I guess the director of the film version of the book would agree with me ... has to do with logic of events. Spinning over 128 chapters, the story was about a plot masterminded and carried out by a secret society; the Illuminati are many; they infiltrate organizations and hence, they are capable of carrying out an attack with the scale of that described in the novel; they can infiltrate the CERN, the Vatican; church, archives; monuments and all, the can infiltrate the Swiss Guard and the Vatican Police. This I understand. But reaching the end (folded in ONLY 9 chapters out of 137), it turned out that the whole plot was the work of a single guy! He is powerful; but he is one still. He imagined the full scenario and he had motives (a little bit overrated - but I think the author is implying that he was psychologically troubled). But when I tried to reconstruct the story from the new view point (that the camerlengo was the one behind the whole thing because he believed that the popessssss are not truly faithful to God), I had many questions that I couldn't find answers to; How did he recruit the Hassassin? Really? He did the whole thing in less then a month. How did he get that illuminati Muslim Arab Hassassin and convinced him to carry this out in revenge for his ancestors? In the film, the assassin did it for money, which was logical. But in the novel? It was all out of faith and loyalty. 2) How did he infiltrate the the CERN? Money? Maybe ..it just needed to be made clear. Guess to my humble mind, this is a very difficult fortress to break into. And finally, when the Hassassin called in the camerlengo's office, did he not recognize the guy's voice, since their relationship was only telephonic? Should I comment on Langdon's surviving a 3 mile fall from the helicopter? No, I won't. I still enjoyed the book greatly and still recommend it to everyone.","2016-06-18"
"960","Angels & Demons ","4","Angels & Demons will give you that cringe expression in the revealing part of the book. Definitely thrilling and confusing. LOL","2016-10-07"
"960","Angels & Demons ","5","Fascinating mix of fiction, history, art, culture and science. I read the illustrated version that was loaded with photographs of the artwork and locations that are referred to in the story. Dan Brown is a unique writer in the way he weaves a story around real life history and locations - very clever.","2016-11-06"
"960","Angels & Demons ","5","This is where the great adventure begin.. So brilliant! Epic and mesmerizing.","2017-10-14"
"960","Angels & Demons ","3","I know, this was a big sensation like 20 years ago and I'm just getting around to pulling this off the shelf and reading it. 
 As with his others, it doesn't disappoint. It's got way more action than books I generally like but it did keep my interest. Foreseeable twists here, ending is pretty predictable from the beginning just because a book like this written/popular with the masses can only end one way.","2016-03-26"
"960","Angels & Demons ","0","I AM SO OFFENDED BY EEEEVERYTHING IN THIS BOOK. But, by the same token, it's like being offended by the Teletubbies ... like, cool your jets, Nicola, this is ridiculous, calm down.","2016-11-23"
"960","Angels & Demons ","5","Another exhausting book by Dan Brown! Action packed, a real page turner that also makes you think about religion and science.","2016-10-13"
"960","Angels & Demons ","5","Once I got into it, I didn't want to put it down! Dan Brown's writing is the kind that takes you from where you are and puts you right there. Like I could see the Vatican. And the characters. I've been meaning to read this series for ages. Glad I finally did!","2016-03-01"
"1885","Pride and Prejudice","5","Love, love, loved it!!! The ultimate regency romance!","2017-01-12"
"1885","Pride and Prejudice","5","It has been so long since I have read a book that I couldn't put down. In 2016 I had a REALLY good book year, handing out 4 and 5-star reviews all over the shop. So far 2017 has been a disappointing 8 months until now. I am so in love with EVERYTHING about this book (and am so happy I finally got round to it; it has been on my reading list for years). 
 I am currently making my way through "The Complete Novels of Jane Austen" (all 1278 pages of it) and Pride and Prejudice is book 2 of 7. Sense and Sensibility was first and although I appreciated Austen's humour and writing, I was not a fan of this novel. 
 So imagine my sheer delight when I loved P&P from page 1. There is laugh-out-loud humour, scandal, insufferable characters, loveable characters, and of course romance. I loved the way Austen developed the characters, especially Elizabeth Bennet who I see to be intelligent and smart, full of integrity, and quite the feminist. 
 Next up is book 3/7 Mansfield Park.","2017-08-19"
"1885","Pride and Prejudice","5","Jane Austen did a magical work in portraying the society of her era into the actors and protagonist. From beginning till the end of the story the language. etiquette, description and communication takes you back to the era. 
 But, she did not fail in portraying a strong-headed woman who from beginning to end is the central character, who has the ability to reason without bias of any sort.","2017-02-09"
"1885","Pride and Prejudice","3","Pride and Prejudice is the formula for the modern chick-flick. A man and a woman who have no chance of being together, and for most of the story do not even like each other, find themselves drawn in more and more by each other and in the end live happily ever after. It is an overused premise nowadays, but I do have to give credit to Jane Austen seeing as she wrote it in 1813 and its basic plot structure has been copied a million different times, just proves her genius. I thought it also cleverly makes fun of the ridiculous social constructs of the time and the manner in which people are expected to address one another. This last point can get lost in the old English writing","2016-06-13"
"1885","Pride and Prejudice","5","I love this book!","2016-03-17"
"1885","Pride and Prejudice","3","I'm honestly torn here. I see why it is an important work and a classic and I enjoyed a fair bit of it but, at the same time, the style got in the way of me loving it unreservedly. Which is funny in some ways since I have read other books from this time period and not had such a reaction. I suppose it lies in Austen's peculiar own brand. This also, by the way, signals the first time a BOOK kicked my embarrassment squick into gear. Between Mrs. Bennet and Lydia, I just about crawled out of my skin a few times. On the other hand, there are some awesome lines and it felt like such a joyous relief when Darcy and Lizzie got on the same page and started being playful because, gawd, it's about time.","2017-01-22"
"1885","Pride and Prejudice","5","Oh, oh, oh my goodness. I have no idea that I would love Pride and Prejudice this much. This book is astounding! 
 28 April 2016 
 I watched its movie, and I was completely and perfectly and incandescently inlove with it. 
 Oh!","2016-02-04"
"13335037","Divergent","5","I love this book. It is well-written and intriguing. I won't include any spoilers. I will say that you are missing so much of the story if you only see the movie. Now I need to get a copy of Insurgent!","2016-08-11"
"13335037","Divergent","5","Forget Edward or Jacob. Forget Peeta or Gale. It's all about Four in my book. Most of the major plot points were totally predictable for me... but this is such a well-written text that I didn't even care (unlike Twilight and Host). ACTION-packed! Intelligent. I am now obsessed like everybody else. Read it over the course of two days.","2017-06-07"
"13335037","Divergent","5","It's books like this that are the reason for "Book hangovers".","2016-05-03"
"13335037","Divergent","5","I have read this book on Kindle but I love hearing it on Overdrive as a Audiobook.","2017-08-05"
"13335037","Divergent","5","I was surprised how much I enjoyed this book. I downloaded the audio version to pass the time on a trip. Although initially skeptical of the five factions set up as being too obvious a metaphor for high school cliques...but I really connected with Tris' journey from Abnegnation to Dauntless. The struggle to form an identity, and how the faction she rejections continued to define her...and how living in the space between factions was seen as dangerous resonated with my religious journey. The only real downside for me was the villians. I felt that the motivations of enemy faction were rather plastic and cartoonish. But I was still impressed enough that I will have to read the next book.","2016-01-10"
"13335037","Divergent","4","Divergent - An ever-popular dystopian book that sat on my to-read list until a friend mentioned it as a must read. My thoughts after reading this? I am still not sure... 
 Overall this book was an entertaining exciting read where if you ignore the fictional world and its gaps, it was pretty good for about 3/4 of it. At first I was concerned since the first 80 pages or so reminded me of a retelling of The Giver. I found too many similarities in the plot that bothered me but eventually I overlooked that and enjoyed the quick fun read. 
 I have to admit I found Tris really dumb at times and would roll my eyes at parts so I am not too attached to her as a main character. 
 Reading along, I was hoping that this would be one of the first dystopian novels I would love - but then like all the other novels similar to this - the plot gets weird and force-fed to the reader. We happily follow a solid plot then it twists to something messed up AND just as we learn characters, the author kills them off. 
 I am still confused on how I feel about this book as I really enjoyed majority of it BUT I hope this isnt a series that gets even more messed up that completely derails.","2017-03-21"
"13335037","Divergent","4","If books were food, Divergent would be dessert. It's just fun. The books are fast paced and suck you in to this crazy world. You've got the girl that ends up being a bad ass "chosen-one," you got a teenage forbidden romance, you've got the classic bad guy, a little loyalty, a little betrayal, and a lot of action. The premise seemed a little manufactured. Perhaps it would be appropriate to call the author of this book "Dr. Frankenstein" as she seems to create a story from plots found in the dystopian futuristic graveyard. Oddly enough, despite the cookie cutter premise, I really enjoyed reading this book. It it's the ground running and drags you along whether you want to or not. Would recommend if you liked The Maze Runner, Hunger Games, Cinder, Mortal Instruments, Harry Potter, Unwind etc.","2017-02-16"
"13335037","Divergent","2","So disappointing... After being riveted by the movie, i was really looking forward to reading the books. But the writing feels a little immature and the character seem less developed than the movie. I rarely say this, but i liked the movie better!","2016-03-08"
"48855","Het Achterhuis Dagboekbrieven 14 juni 1942 - 1 augustus 1944","5","Very affecting read.","2017-01-12"
"48855","Het Achterhuis Dagboekbrieven 14 juni 1942 - 1 augustus 1944","3","REQUIRED READING - EIGHTH GRADE This diary has the fears and joys of a fourteen year old girl who goes into hiding during the Holocaust. The main characters are Anne, Peter, Mr. and Mrs. Frank, and the parents of Peter. I enjoyed it because it was heart warming. The theme was to stick up for what you believe in, no matter what the cost.","2017-06-05"
"48855","Het Achterhuis Dagboekbrieven 14 juni 1942 - 1 augustus 1944","4","This book is insightful and so important. Anne's perspective is fascinating especially due to the fact that it was her personal diary that we are reading. I do wish that I had read it when I was a little bit younger as I think I would have enjoyed it even more, but I am still so glad that I read it.","2016-05-19"
"48855","Het Achterhuis Dagboekbrieven 14 juni 1942 - 1 augustus 1944","4","Sometimes I felt slighty uncomfortable while reading Anne's diary. When you think these lines are her inner thoughts from her mind and heart when she was 13-15 years old and thousands of people can read them now it's terrifing.","2016-01-28"
"48855","Het Achterhuis Dagboekbrieven 14 juni 1942 - 1 augustus 1944","5","What an extra ordinary lovely young girl and such a pity to fall victim to human indecency. 
 The book is turned out to be so effective. Whether it's the sympathy driven success since a young girl who seems to be very refine writer got snatched the right to flourish naturally. Or it is real good write up. 
 I liked it because my rational mind accepts it rather than the emotional part would be swayed away by the ordeal of the girl. 
 At the age of 13 she is reading mythology and studying different languages. Reading was such a heavy part of her life, and not some ordinary reading (language, philosophy etc). The way she endured pain during hiding, thought critically and drew opinions based on her knowledge, reviewing books in a context that was related to her ordeal/life is something I held on to very dearly while reading. She had a clear idea what she wanted to do once they finish the hiding (spending time in Germany and London to get education on history of arts, languages). Some of the ideas like, 'the old people supposed to be less confused since they dealt with the hard part already and have pretty much worked out their ways than the younger evolving youth' and 'when you are upset, instead of holding on to the people who are miserable since their misery can make you realize the blessings in your life, one should rely on the happiness and colours around' are quite fascinating. She use to go back to the old entries in diary and see her complaining self which she found as "ungrateful". 
 The end makes me wonder how terrified she must had felt when they were caught and above all how desperate she had been to leave her dear kitty behind. How she had lived the next 6-7 months without writing. Her intellectual self-had the need to shed itself. How she had kept insanity without talking to Kitty, since that was one major thing which kept her going. 
 Anyhow, in the end, Kitty did do justice by bringing Anne Frank to the world. Otherwise we would have never known the intelligent girl like many others who must had been lost in evil-selfish human warmongering conquests.","2017-04-15"
"48855","Het Achterhuis Dagboekbrieven 14 juni 1942 - 1 augustus 1944","5","It's difficult to explain at what level this book touched me. I admire Anne for many, many reasons. How many young teenagers are so eloquent, so self-conscious, so tenacious and so aware of the people that surround them? Anne, at a very young age, managed not only to understand but also to express many human truths--truths that range from mundane topics such as everyday life and relationships and politics to topics that even some critical-thinking adults can't seem to grasp, like life and death, peace and war, depression and happiness. 
 Anne Frank achieved a lot. She sent a message to the World, a message that, if only half the people listened to, would make this a better place. Oh--but she could have achieved so much more. Her story makes me feel both distressed and optimistic. I would recommend this book to anyone.","2016-10-02"
"48855","Het Achterhuis Dagboekbrieven 14 juni 1942 - 1 augustus 1944","5","Read this in school and several times as an adult just because. Amazing book that lets you touch intimately into a chilling part of history.","2017-03-17"
"2429135","Man som hatar kvinnor","4","loved it! cant wait to start the next one!","2016-02-22"
"2429135","Man som hatar kvinnor","5","Glad I finally got around to reading this one!","2016-02-22"
"2429135","Man som hatar kvinnor","4","I actually listened to this book on audible during work. I thought that the book, at times, was very slow. The actually issues and background of the characters in the books really come to life as you listen and/or read them. 
 The plot of the book was awesome and how she handled each person in her life. I can't wait to listen to the second book!","2016-02-29"
"2429135","Man som hatar kvinnor","3","It took me awhile to get into this book. Once I got past the first 100 pages I couldn't put it down.","2016-04-05"
"2429135","Man som hatar kvinnor","4","Its hard to believe the same author who wrote the gripping action of the second half of the book could begin with multiple chapters of narrated background or narrated background thinly disguised as dialogue. I was listening to the audio while I did other things or I would never have gotten through it, but once I did, he had me spellbound by the plot twists. That said, I hated the last line!","2016-02-11"
"2429135","Man som hatar kvinnor","5","Absolutely fantastic & gripping book. Give it the first 100 pages before you make any decisions on if you like it or not.","2016-01-07"
"6148028","Catching Fire","1","** spoiler alert ** 
 UGH. This one was the worst... 
 I honestly don't know why this book is so highly rated. This one was definitely the worst of the three. It was a complete repeat of book one. I liked the beginning where she was starting to get little hints and glimpses that there was a rebellion starting in some of the districts. That part was exciting and I wanted to watch more of that unfold, but before I knew it we were back in the God damned arena. And then it was exactly like the first book, people dying all over the place, alliances being formed, and knowing all along that she's going to figure some way out of there for her and Peeta. She kept rambling on about sacrificing herself for Peeta and her martyrdom was SO.FUCKING.ANNOYING. We all knew she and Peeta weren't going to die. There was so much "action" in this one that I didn't even get a chance to care about anyone else in the arena with her. So as people were dying, even ones in her alliance, I did not find myself caring all that much. Maybe I had resigned myself to the belief that they might all die (except Katniss and Peeta) so I didn't allow myself to get attached to any of them. 
 So my advice would be to skip a whole bunch of chapters until they figure out how to blow up the arena and then pick it back up there. Then it gets more interesting again. But I felt left out of the uprising, left out of the "Catching Fire" that was the title of the book. We see little glimpses and then by the time they get rescued it's all out war. We don't get to see how the action in the arena has influenced the people of the districts and the rebellion. So I thought it was a lot of lazy writing. A lot of missed opportunities by going back into the arena. It could have been so much better if Katniss and Peeta had been mentors to the games, and we could have been involved in the rebellion alliance and then we could have been a part of the arena AND been better positioned to get information of the districts' uprising. She could have formed many of the same bonds with the other past tributes by way of her tribute forming alliances with theirs. But I guess it's no good to dwell on all the ways you could have written a better sequel. Anywho I don't have a lot else to say about this one.","2016-06-20"
"6148028","Catching Fire","4","These books are way more subversive and dark than Harry Potter! Was I born in the wrong era in terms of wildly popular nerdy book trends? Perhaps so, because Katniss is so cool, with her proto-Artemis/Diana quiver and arrows, and her disdain for leg-shaving and desire to just live alone. I love too that defiance in the world of the hunger games is kindness and solidarity rather than blind self-interest and individualism. The whole series is a demented reversal of Gil Scot Heron's "The Revolution Will Not Be Televised" in which the whole revolution is played out in hyperreality and simulacra, and not only the revolution, but the counter revolution will in fact be televised. 
 Also, isn't anyone bothered that time and time again in the books everyone in District 11 is described as "olive" skinned and... Jennifer Lawrence? Really?","2016-02-22"
"6148028","Catching Fire","5","Captivated me, to the point where I took my speakers into the bathroom so I didn't have to stop listening while showering.","2017-02-08"
"6148028","Catching Fire","4","I really enjoyed this book, but it missed the mark for me with Peeta. His character was flat and seemed almost unnecessary. Katniss is some fiercely angry chick! 
 I'm hooked, though. On to book 3!","2017-02-09"
"6148028","Catching Fire","4","It was a great read and I would suggest watch the movie then read,If you reverse the process then you will be not impressed with the movie at all.","2016-08-05"
"6148028","Catching Fire","5","This. Book. Is. The. Best. In. The. Trilogy. I love the build up. I love the action. I love how speedy it is because of both. I love this.","2016-12-15"
"7260188","Mockingjay","4","Not as strikingly brilliant as the first two books, but still had enough to want you keep going on.","2016-03-20"
"7260188","Mockingjay","4","Man, I totally did not appreciate this series as much as I should have the first time I read it. This story that Collins has created, one about oppression and government control, rebellion and fighting for freedom, is so well done. There is never a dull moment. Everything that happens is happening for a reason, and the pacing is just perfect. 
 I know many people are upset that Katniss lost her "badassery-ness" from the first book, but really, this just made me connect with and understand her even more. What she went through in the first Games, and all the terrible stuff afterwards, is horrifying. Of course it's going to affect her. So many characters nowadays don't seem to feel anything - they just push away all the bad thoughts and keep fighting. They're kinda like Gale, in a way. Running on rage and not really taking in and dealing with all the bad. 
 Katniss isn't like that. What she went through, what she experienced, it affected her. It changed her. And that makes her character even more realistic. Friends were killed, she had to kill, she had to see the repercussions of her actions - these types of things affect you in ways you cannot imagine. She will never be just another girl from District 12. How could she be, after all she went through? 
 Collins has created a dynamic, complex cast of characters, and she is not afraid to kill them off. They are at war, after all. Death is to be expected. The only thing I'm not sure about is the last couple of chapters (not the epilogue). I like how everything resolved, just not sure in the way it resolved. But the more I think about it, the more I like it. Not a thing should be changed. 
 Also, I completely understand why Katniss did what she did, throughout the whole series. Any decisions she made, any actions she took, I understood her reasoning why, and almost always agreed with her. It's not easy to create a character in which readers truly understand, but Collins has done it here. She created a personality for Katniss that, while it did change based on what happened around her, the base of her character was always there. Splendid job in that regard. 
 Now, the epilogue. Maybe some people hate it, but honestly, I love it. It's so extremely powerful, and that last line? Yeah, that's a last sentence that I will always remember, word for word. It is the perfect way to end this series. Bravo, Suzanne Collins. Bravo. 
 *Even though I just finished re-reading the series, I could honestly start re-reading it all over again. That is how much I love this story. The Hunger Games is a series that I will definitely be re-reading over and over again in the future.","2016-12-01"
